number,value,datetime_start,datetime_complete,duration,params_answer_style,params_chunk_overlap,params_chunk_size,params_chunk_strategy,params_embedding_model,params_llm_provider,params_metadata_enrichment,params_query_rewrite,params_rerank_enabled,params_rerank_model,params_retriever_type,params_temperature,state
0,0.6751938946545124,2026-04-17 19:45:34.716850,2026-04-17 19:46:45.602574,0 days 00:01:10.885724,concise,32,128,token,sentence-transformers/all-MiniLM-L6-v2,zhipu-glm4-flash,False,False,False,cross-encoder/ms-marco-MiniLM-L-6-v2,hybrid,0.2,COMPLETE
1,0.5364757219838794,2026-04-17 19:46:45.603738,2026-04-17 19:49:37.813804,0 days 00:02:52.210066,citation_first,32,256,semantic,BAAI/bge-base-en,zhipu-glm4-flash,False,True,True,BAAI/bge-reranker-base,dense,0.0,COMPLETE
2,0.4862253974191844,2026-04-17 19:49:37.815976,2026-04-17 19:52:09.102500,0 days 00:02:31.286524,citation_first,0,128,token,BAAI/bge-base-en,zhipu-glm4-flash,False,True,True,cross-encoder/ms-marco-MiniLM-L-6-v2,dense,0.2,COMPLETE
